Ensembl Gene ID,Gene Start (bp),Gene End (bp),Chromosome Name,Strand,Associated Gene Name
ENSMUSG00000064372,15356,15422,MT,-1,mt-Tp
ENSMUSG00000064371,15289,15355,MT,1,mt-Tt
ENSMUSG00000064370,14145,15288,MT,1,mt-Cytb
ENSMUSG00000064369,14071,14139,MT,-1,mt-Te
ENSMUSG00000064368,13552,14070,MT,-1,mt-Nd6
ENSMUSG00000064367,11742,13565,MT,1,mt-Nd5
ENSMUSG00000064366,11671,11741,MT,1,mt-Tl2
ENSMUSG00000064365,11613,11671,MT,1,mt-Ts2
ENSMUSG00000064364,11546,11612,MT,1,mt-Th
ENSMUSG00000064363,10167,11544,MT,1,mt-Nd4
ENSMUSG00000065947,9877,10173,MT,1,mt-Nd4l
ENSMUSG00000064361,9808,9875,MT,1,mt-Tr
ENSMUSG00000064360,9459,9806,MT,1,mt-Nd3
ENSMUSG00000064359,9391,9458,MT,1,mt-Tg
ENSMUSG00000064358,8607,9390,MT,1,mt-Co3
ENSMUSG00000064357,7927,8607,MT,1,mt-Atp6
ENSMUSG00000064356,7766,7969,MT,1,mt-Atp8
ENSMUSG00000064355,7700,7764,MT,1,mt-Tk
ENSMUSG00000064354,7013,7696,MT,1,mt-Co2
ENSMUSG00000064353,6942,7011,MT,1,mt-Td
ENSMUSG00000064352,6870,6938,MT,-1,mt-Ts1
ENSMUSG00000064351,5328,6872,MT,1,mt-Co1
ENSMUSG00000064350,5260,5326,MT,-1,mt-Ty
ENSMUSG00000064349,5192,5257,MT,-1,mt-Tc
ENSMUSG00000064348,5089,5159,MT,-1,mt-Tn
ENSMUSG00000064347,5018,5086,MT,-1,mt-Ta
ENSMUSG00000064346,4950,5016,MT,1,mt-Tw
ENSMUSG00000064345,3914,4951,MT,1,mt-Nd2
ENSMUSG00000064344,3845,3913,MT,1,mt-Tm
ENSMUSG00000064343,3772,3842,MT,-1,mt-Tq
ENSMUSG00000064342,3706,3774,MT,1,mt-Ti
ENSMUSG00000064341,2751,3707,MT,1,mt-Nd1
ENSMUSG00000064340,2676,2750,MT,1,mt-Tl1
ENSMUSG00000064339,1094,2675,MT,1,mt-Rnr2
ENSMUSG00000064338,1025,1093,MT,1,mt-Tv
ENSMUSG00000064337,70,1024,MT,1,mt-Rnr1
ENSMUSG00000064336,1,68,MT,1,mt-Tf
ENSMUSG00000051777,67892220,68056593,3,1,Iqcj
ENSMUSG00000008438,81558584,81568474,12,-1,Adam21
ENSMUSG00000102067,51058910,51074856,3,-1,Gm29230
ENSMUSG00000086670,4942174,4942484,2,1,Gm13194
ENSMUSG00000081320,49158223,49158571,X,1,Gm15034
ENSMUSG00000082347,49164908,49165307,X,1,Gm15036
ENSMUSG00000102585,19116579,19117434,11,-1,RP23-137B16.4
ENSMUSG00000074305,56201126,56418067,9,-1,Peak1
ENSMUSG00000056904,91097149,91098496,9,1,Gm5620
ENSMUSG00000103464,51103660,51105170,3,1,RP24-88F2.2
ENSMUSG00000104311,103948096,103949811,14,1,RP23-241E9.1
ENSMUSG00000081054,19360926,19361069,11,-1,Gm12025
ENSMUSG00000082737,19383685,19384708,11,1,Gm12026
ENSMUSG00000064057,49663610,49665118,11,1,Scgb3a1
ENSMUSG00000037683,19199302,19310241,2,1,Armc3
ENSMUSG00000024011,29318877,29329413,17,1,Pi16
